year,B60L,F03D,H01M,H01L
2000,100,100,100,100
2001,122.7532697,224.6632655,104.3757025,98.66616367
2002,117.2979349,203.4860715,99.20528636,97.08117683
2003,250.9876145,185.7386242,101.7176154,113.0723709
2004,277.0195793,147.8296127,91.36426378,121.9540438
2005,153.6446505,224.3072015,80.5952867,128.8295633
2006,149.3362669,326.4859697,72.38452046,145.3852382
2007,164.0094016,344.1339003,66.49463152,169.6424113
2008,160.5605911,432.7324729,63.29660137,239.0642864
2009,171.1353039,457.7313463,74.52348889,272.3912459
2010,163.1682937,381.984729,68.6009302,417.8130698
2011,237.693462,383.5876632,61.37611544,358.9838688
2012,277.9167347,519.8968197,57.82045163,259.6080058
2013,239.0658399,518.951152,59.1996592,231.9146266
2014,423.9043124,575.272996,60.8265541,248.9038336
2015,561.9714605,627.827609,66.67476126,308.9462199
